state,end_date,new_cases,new_deaths,year,population
AK,2020-01-22,0,0,2020,733017
AK,2020-01-29,0,0,2020,733017
AK,2020-02-05,0,0,2020,733017
AK,2020-02-12,0,0,2020,733017
AK,2020-02-19,0,0,2020,733017
AK,2020-02-26,0,0,2020,733017
AK,2020-03-04,0,0,2020,733017
AK,2020-03-11,0,0,2020,733017
AK,2020-03-18,11,0,2020,733017
AK,2020-03-25,52,1,2020,733017
AK,2020-04-01,86,2,2020,733017
AK,2020-04-08,86,4,2020,733017
AK,2020-04-15,65,2,2020,733017
AK,2020-04-22,37,0,2020,733017
AK,2020-04-29,18,0,2020,733017
AK,2020-05-06,19,1,2020,733017
AK,2020-05-13,15,0,2020,733017
AK,2020-05-20,15,0,2020,733017
AK,2020-05-27,23,0,2020,733017
AK,2020-06-03,91,0,2020,733017
AK,2020-06-10,98,1,2020,733017
AK,2020-06-17,97,1,2020,733017
AK,2020-06-24,108,0,2020,733017
AK,2020-07-01,199,1,2020,733017
AK,2020-07-08,253,3,2020,733017
AK,2020-07-15,421,0,2020,733017
AK,2020-07-22,508,2,2020,733017
AK,2020-07-29,684,3,2020,733017
AK,2020-08-05,601,4,2020,733017
AK,2020-08-12,491,2,2020,733017
AK,2020-08-19,558,2,2020,733017
AK,2020-08-26,465,7,2020,733017
AK,2020-09-02,474,2,2020,733017
AK,2020-09-09,547,3,2020,733017
AK,2020-09-16,529,2,2020,733017
AK,2020-09-23,642,1,2020,733017
AK,2020-09-30,833,11,2020,733017
AK,2020-10-07,1020,4,2020,733017
AK,2020-10-14,1341,5,2020,733017
AK,2020-10-21,1538,4,2020,733017
AK,2020-10-28,2614,3,2020,733017
AK,2020-11-04,2727,15,2020,733017
AK,2020-11-11,3598,12,2020,733017
AK,2020-11-18,4316,4,2020,733017
AK,2020-11-25,4112,16,2020,733017
AK,2020-12-02,4524,5,2020,733017
AK,2020-12-09,4622,27,2020,733017
AK,2020-12-16,3417,30,2020,733017
AK,2020-12-23,2223,16,2020,733017
AK,2020-12-30,1724,7,2020,733017
AK,2021-01-06,2026,17,2021,734420
AK,2021-01-13,1973,6,2021,734420
AK,2021-01-20,1377,27,2021,734420
AK,2021-01-27,1181,8,2021,734420
AK,2021-02-03,946,18,2021,734420
AK,2021-02-10,989,1,2021,734420
AK,2021-02-17,807,8,2021,734420
AK,2021-02-24,885,1,2021,734420
AK,2021-03-03,876,12,2021,734420
AK,2021-03-10,910,2,2021,734420
AK,2021-03-17,914,2,2021,734420
AK,2021-03-24,944,5,2021,734420
AK,2021-03-31,1186,1,2021,734420
AK,2021-04-07,1208,0,2021,734420
AK,2021-04-14,1113,1,2021,734420
AK,2021-04-21,1146,20,2021,734420
AK,2021-04-28,1042,12,2021,734420
AK,2021-05-05,731,1,2021,734420
AK,2021-05-12,565,5,2021,734420
AK,2021-05-19,453,16,2021,734420
AK,2021-05-26,297,0,2021,734420
AK,2021-06-02,230,0,2021,734420
AK,2021-06-09,185,0,2021,734420
AK,2021-06-16,155,4,2021,734420
AK,2021-06-23,237,1,2021,734420
AK,2021-06-30,257,3,2021,734420
AK,2021-07-07,313,0,2021,734420
AK,2021-07-14,572,4,2021,734420
AK,2021-07-21,1199,1,2021,734420
AK,2021-07-28,1546,4,2021,734420
AK,2021-08-04,1892,7,2021,734420
AK,2021-08-11,2112,7,2021,734420
AK,2021-08-18,3001,12,2021,734420
AK,2021-08-25,3357,26,2021,734420
AK,2021-09-01,3651,10,2021,734420
AK,2021-09-08,4264,8,2021,734420
AK,2021-09-15,4887,12,2021,734420
AK,2021-09-22,6258,13,2021,734420
AK,2021-09-29,8436,85,2021,734420
AK,2021-10-06,5744,18,2021,734420
AK,2021-10-13,6177,27,2021,734420
AK,2021-10-20,5530,79,2021,734420
AK,2021-10-27,4625,25,2021,734420
AK,2021-11-03,4134,21,2021,734420
AK,2021-11-10,3391,94,2021,734420
AK,2021-11-17,2919,11,2021,734420
AK,2021-11-24,2349,28,2021,734420
AK,2021-12-01,1716,11,2021,734420
AK,2021-12-08,1510,5,2021,734420
AK,2021-12-15,1219,3,2021,734420
AK,2021-12-22,1046,87,2021,734420
AK,2021-12-29,2080,2,2021,734420
AK,2022-01-05,5523,1,2022,734442
AK,2022-01-12,12166,6,2022,734442
AK,2022-01-19,15735,66,2022,734442
AK,2022-01-26,16839,30,2022,734442
AK,2022-02-02,13422,12,2022,734442
AK,2022-02-09,8117,21,2022,734442
AK,2022-02-16,3958,27,2022,734442
AK,2022-02-23,2684,22,2022,734442
AK,2022-03-02,2091,28,2022,734442
AK,2022-03-09,2440,10,2022,734442
AK,2022-03-16,1407,1,2022,734442
AK,2022-03-23,1423,17,2022,734442
AK,2022-03-30,1445,9,2022,734442
AK,2022-04-06,1377,0,2022,734442
AK,2022-04-13,1237,6,2022,734442
AK,2022-04-20,1513,13,2022,734442
AK,2022-04-27,1425,4,2022,734442
AK,2022-05-04,1417,1,2022,734442
AK,2022-05-11,1539,11,2022,734442
AK,2022-05-18,1697,11,2022,734442
AK,2022-05-25,1881,0,2022,734442
AK,2022-06-01,1944,0,2022,734442
AK,2022-06-08,2057,0,2022,734442
AK,2022-06-15,1982,0,2022,734442
AK,2022-06-22,2137,0,2022,734442
AK,2022-06-29,2766,0,2022,734442
AK,2022-07-06,1988,0,2022,734442
AK,2022-07-13,2133,5,2022,734442
AK,2022-07-20,2345,0,2022,734442
AK,2022-07-27,2050,0,2022,734442
AK,2022-08-03,2573,0,2022,734442
AK,2022-08-10,1868,21,2022,734442
AK,2022-08-17,1465,0,2022,734442
AK,2022-08-24,1673,8,2022,734442
AK,2022-08-31,1208,0,2022,734442
AK,2022-09-07,879,0,2022,734442
AK,2022-09-14,950,25,2022,734442
AK,2022-09-21,644,0,2022,734442
AK,2022-09-28,550,0,2022,734442
AK,2022-10-05,637,27,2022,734442
AK,2022-10-12,511,0,2022,734442
AK,2022-10-19,347,0,2022,734442
AK,2022-10-26,379,20,2022,734442
AK,2022-11-02,359,0,2022,734442
AK,2022-11-09,199,0,2022,734442
AK,2022-11-16,390,23,2022,734442
AK,2022-11-23,430,0,2022,734442
AK,2022-11-30,398,0,2022,734442
AK,2022-12-07,496,0,2022,734442
AK,2022-12-14,354,0,2022,734442
AK,2022-12-21,380,19,2022,734442
AK,2022-12-28,332,0,2022,734442
AK,2023-01-04,371,0,2023,736510
AK,2023-01-11,470,0,2023,736510
AK,2023-01-18,649,0,2023,736510
AK,2023-01-25,654,18,2023,736510
AK,2023-02-01,793,0,2023,736510
AK,2023-02-08,692,0,2023,736510
AK,2023-02-15,786,0,2023,736510
AK,2023-02-22,775,13,2023,736510
AK,2023-03-01,448,0,2023,736510
AK,2023-03-08,582,0,2023,736510
AK,2023-03-15,448,0,2023,736510
AK,2023-03-22,496,0,2023,736510
AK,2023-03-29,514,19,2023,736510
AK,2023-04-05,401,0,2023,736510
AK,2023-04-12,358,0,2023,736510
AK,2023-04-19,361,0,2023,736510
AK,2023-04-26,280,0,2023,736510
AK,2023-05-03,188,0,2023,736510
AK,2023-05-10,199,0,2023,736510
AL,2020-01-22,0,0,2020,5033094
AL,2020-01-29,0,0,2020,5033094
AL,2020-02-05,0,0,2020,5033094
AL,2020-02-12,0,0,2020,5033094
AL,2020-02-19,0,0,2020,5033094
AL,2020-02-26,0,0,2020,5033094
AL,2020-03-04,0,0,2020,5033094
AL,2020-03-11,3,0,2020,5033094
AL,2020-03-18,58,0,2020,5033094
AL,2020-03-25,411,1,2020,5033094
AL,2020-04-01,703,25,2020,5033094
AL,2020-04-08,1439,39,2020,5033094
AL,2020-04-15,1693,45,2020,5033094
AL,2020-04-22,1385,83,2020,5033094
AL,2020-04-29,1287,62,2020,5033094
AL,2020-05-06,1790,86,2020,5033094
AL,2020-05-13,2053,107,2020,5033094
AL,2020-05-20,2364,74,2020,5033094
AL,2020-05-27,3077,61,2020,5033094
AL,2020-06-03,2691,67,2020,5033094
AL,2020-06-10,3705,92,2020,5033094
AL,2020-06-17,5282,45,2020,5033094
AL,2020-06-24,4937,99,2020,5033094
AL,2020-07-01,6769,88,2020,5033094
AL,2020-07-08,8502,84,2020,5033094
AL,2020-07-15,12045,152,2020,5033094
AL,2020-07-22,12400,154,2020,5033094
AL,2020-07-29,12058,175,2020,5033094
AL,2020-08-05,10671,155,2020,5033094
AL,2020-08-12,8896,185,2020,5033094
AL,2020-08-19,7477,63,2020,5033094
AL,2020-08-26,8208,101,2020,5033094
AL,2020-09-02,8336,168,2020,5033094
AL,2020-09-09,5821,70,2020,5033094
AL,2020-09-16,6362,105,2020,5033094
AL,2020-09-23,6474,79,2020,5033094
AL,2020-09-30,7875,65,2020,5033094
AL,2020-10-07,6313,72,2020,5033094
AL,2020-10-14,7535,104,2020,5033094
AL,2020-10-21,7985,120,2020,5033094
AL,2020-10-28,12170,83,2020,5033094
AL,2020-11-04,10152,94,2020,5033094
AL,2020-11-11,9710,195,2020,5033094
AL,2020-11-18,14851,145,2020,5033094
AL,2020-11-25,15830,185,2020,5033094
AL,2020-12-02,17510,180,2020,5033094
AL,2020-12-09,23359,274,2020,5033094
AL,2020-12-16,25453,214,2020,5033094
AL,2020-12-23,28929,389,2020,5033094
AL,2020-12-30,22251,189,2020,5033094
AL,2021-01-06,27365,213,2021,5049196
AL,2021-01-13,26811,765,2021,5049196
AL,2021-01-20,18659,529,2021,5049196
AL,2021-01-27,19432,888,2021,5049196
AL,2021-02-03,15974,1032,2021,5049196
AL,2021-02-10,10954,687,2021,5049196
AL,2021-02-17,7162,459,2021,5049196
AL,2021-02-24,6988,394,2021,5049196
AL,2021-03-03,6979,285,2021,5049196
AL,2021-03-10,4256,193,2021,5049196
AL,2021-03-17,8065,141,2021,5049196
AL,2021-03-24,3204,121,2021,5049196
AL,2021-03-31,2684,66,2021,5049196
AL,2021-04-07,2095,103,2021,5049196
